Ticket_ID,Date_Created,Date_Closed,Agent_ID,Unit_ID,Priority,Resolution_Time_Hours,SLA_Status,Platform
T1059,2026-04-20 10:22:00,2026-04-20 11:14:12,A15,U05,Low,0.87,Within SLA,Non-Salesforce Native
T1060,2026-03-04 13:50:00,2026-03-04 14:20:36,A25,U05,Low,0.51,Within SLA,Non-Salesforce Native
T1061,2026-02-27 17:21:00,2026-02-27 19:56:24,A49,U04,Low,2.59,Within SLA,Salesforce Flows
T1062,2026-02-23 12:32:00,2026-02-23 12:53:36,A08,U03,High,0.36,Within SLA,Non-Salesforce Native
T1063,2026-01-05 14:03:00,2026-01-05 15:11:24,A06,U01,Low,1.14,Within SLA,Salesforce Core
T1064,2026-02-16 10:54:00,2026-02-16 16:08:24,A40,U05,Medium,5.24,Within SLA,Salesforce Flows
T1065,2026-04-16 10:16:00,2026-04-16 10:23:12,A19,U04,Medium,0.12,Within SLA,Salesforce Flows
T1066,2026-04-11 17:52:00,2026-04-11 19:37:00,A23,U03,Medium,1.75,Within SLA,Non-Salesforce Native
T1067,2026-01-01 17:57:00,2026-01-01 18:21:36,A01,U01,Medium,0.41,Within SLA,Salesforce Core
T1068,2026-04-28 16:39:00,2026-04-28 17:44:24,A45,U05,Low,1.09,Within SLA,Non-Salesforce Native
T1069,2026-03-05 12:21:00,2026-03-05 12:46:48,A29,U04,Medium,0.43,Within SLA,Salesforce Flows
T1070,2026-01-16 10:36:00,2026-01-16 10:44:24,A22,U02,Low,0.14,Within SLA,Non-Salesforce Native
T1071,2026-02-16 08:29:00,2026-02-16 08:46:24,A46,U01,Critical,0.29,Within SLA,Salesforce Core
T1072,2026-01-16 17:25:00,2026-01-16 18:03:24,A48,U03,High,0.64,Within SLA,Non-Salesforce Native
T1073,2026-04-04 12:22:00,2026-04-04 12:26:12,A10,U05,High,0.07,Within SLA,Non-Salesforce Native
T1074,2026-04-05 17:57:00,2026-04-05 20:51:36,A19,U04,Medium,2.91,Within SLA,Salesforce Flows
T1075,2026-03-10 11:15:00,2026-03-10 15:34:48,A24,U04,High,4.33,Within SLA,Salesforce Flows
T1076,2026-04-02 11:23:00,2026-04-02 11:35:36,A12,U02,Low,0.21,Within SLA,Non-Salesforce Native
T1077,2026-03-02 10:42:00,2026-03-02 15:34:12,A37,U02,Medium,4.87,Out of SLA,Salesforce Core
T1078,2026-03-15 09:50:00,2026-03-15 11:26:00,A50,U05,Medium,1.6,Within SLA,Salesforce Flows
T1079,2026-04-03 17:09:00,2026-04-03 17:36:00,A26,U01,Low,0.45,Within SLA,Salesforce Core
T1080,2026-01-07 11:57:00,2026-01-07 12:00:36,A50,U05,Medium,0.06,Within SLA,Salesforce Flows
T1081,2026-03-30 12:56:00,2026-03-30 15:00:48,A36,U01,Low,2.08,Within SLA,Salesforce Core
T1082,2026-03-05 10:48:00,2026-03-05 11:13:48,A35,U05,Medium,0.43,Within SLA,Non-Salesforce Native
T1083,2026-04-06 15:22:00,2026-04-06 19:21:24,A32,U02,High,3.99,Out of SLA,Salesforce Core
T1084,2026-01-23 16:34:00,2026-01-23 17:43:00,A41,U01,Low,1.15,Within SLA,Salesforce Core
T1085,2026-03-25 16:21:00,2026-03-25 17:05:24,A13,U03,High,0.74,Within SLA,Non-Salesforce Native
T1086,2026-01-12 16:18:00,2026-01-12 20:48:00,A12,U02,Low,4.5,Out of SLA,Non-Salesforce Native
T1087,2026-02-21 10:57:00,2026-02-21 11:28:12,A47,U02,Low,0.52,Within SLA,Salesforce Core
T1088,2026-01-25 11:58:00,2026-01-25 14:19:00,A21,U01,High,2.35,Within SLA,Salesforce Core
T1089,2026-02-26 14:44:00,2026-02-26 17:31:24,A42,U02,Critical,2.79,Out of SLA,Non-Salesforce Native
T1090,2026-01-05 10:22:00,2026-01-05 10:33:24,A29,U04,Low,0.19,Within SLA,Salesforce Flows
T1091,2026-03-17 16:09:00,2026-03-17 18:52:48,A44,U04,High,2.73,Within SLA,Salesforce Flows
T1092,2026-02-15 15:41:00,2026-02-15 17:31:24,A09,U04,High,1.84,Within SLA,Salesforce Flows
T1093,2026-01-05 12:37:00,2026-01-05 15:35:48,A19,U04,Medium,2.98,Within SLA,Salesforce Flows
T1094,2026-03-27 11:16:00,2026-03-27 12:46:36,A07,U02,Critical,1.51,Within SLA,Non-Salesforce Native
T1095,2026-01-31 10:43:00,2026-01-31 14:16:00,A39,U04,Medium,3.55,Within SLA,Salesforce Flows
T1096,2026-02-08 10:44:00,2026-02-08 12:00:12,A13,U03,Medium,1.27,Within SLA,Non-Salesforce Native
T1097,2026-01-20 15:40:00,2026-01-20 16:58:36,A39,U04,Medium,1.31,Within SLA,Salesforce Flows
T1098,2026-03-03 16:59:00,2026-03-03 18:06:48,A49,U04,Low,1.13,Within SLA,Salesforce Flows
T1099,2026-04-27 13:57:00,2026-04-27 15:10:12,A44,U04,Critical,1.22,Within SLA,Salesforce Flows
T1100,2026-02-16 12:15:00,2026-02-16 12:21:36,A21,U01,Critical,0.11,Within SLA,Salesforce Core
T1101,2026-04-09 10:19:00,2026-04-09 10:41:12,A18,U03,Low,0.37,Within SLA,Non-Salesforce Native
T1102,2026-01-15 08:52:00,2026-01-15 08:56:12,A03,U03,High,0.07,Within SLA,Non-Salesforce Native
T1103,2026-01-12 17:31:00,2026-01-12 18:25:36,A16,U01,High,0.91,Within SLA,Salesforce Core
T1104,2026-01-28 12:07:00,2026-01-28 12:51:24,A28,U03,Medium,0.74,Within SLA,Non-Salesforce Native
T1105,2026-03-01 09:27:00,2026-03-01 09:54:00,A28,U03,Low,0.45,Within SLA,Non-Salesforce Native
T1106,2026-01-27 13:16:00,2026-01-27 15:47:12,A09,U04,Low,2.52,Within SLA,Salesforce Flows
T1107,2026-04-02 10:05:00,2026-04-02 11:23:36,A18,U03,Medium,1.31,Within SLA,Non-Salesforce Native
T1108,2026-01-25 09:09:00,2026-01-25 09:25:12,A30,U05,High,0.27,Within SLA,Salesforce Flows
T1109,2026-04-30 08:53:00,2026-04-30 15:12:48,A01,U01,Medium,6.33,Out of SLA,Salesforce Core
T1110,2026-01-11 12:25:00,2026-01-11 13:40:36,A25,U05,Critical,1.26,Within SLA,Salesforce Flows
T1111,2026-02-02 09:40:00,2026-02-02 09:45:24,A35,U05,Low,0.09,Within SLA,Salesforce Flows
T1112,2026-01-06 08:04:00,2026-01-06 11:44:12,A31,U01,Medium,3.67,Within SLA,Salesforce Core
T1113,2026-01-23 12:52:00,2026-01-23 13:51:24,A37,U02,High,0.99,Within SLA,Salesforce Core
T1114,2026-03-19 16:45:00,2026-03-19 18:09:00,A01,U01,Critical,1.4,Within SLA,Salesforce Core
T1115,2026-03-03 08:48:00,2026-03-03 09:16:12,A40,U05,Medium,0.47,Within SLA,Non-Salesforce Native
T1116,2026-02-08 17:57:00,2026-02-08 20:37:12,A34,U04,Medium,2.67,Within SLA,Salesforce Flows
T1117,2026-02-19 08:53:00,2026-02-19 12:01:24,A44,U04,Medium,3.14,Within SLA,Salesforce Flows
T1118,2026-02-26 08:47:00,2026-02-26 10:14:00,A47,U02,Medium,1.45,Within SLA,Salesforce Core
T1119,2026-03-07 10:38:00,2026-03-07 16:32:00,A38,U03,Medium,5.9,Within SLA,Non-Salesforce Native
T1120,2026-02-19 09:17:00,2026-02-19 12:48:12,A30,U05,Medium,3.52,Within SLA,Salesforce Flows
T1121,2026-02-21 16:37:00,2026-02-21 17:22:36,A33,U03,High,0.76,Within SLA,Non-Salesforce Native
T1122,2026-04-29 17:50:00,2026-04-29 19:59:00,A17,U02,High,2.15,Out of SLA,Non-Salesforce Native
T1123,2026-01-17 17:16:00,2026-01-17 18:43:00,A20,U05,Medium,1.45,Within SLA,Non-Salesforce Native
T1124,2026-03-07 10:46:00,2026-03-07 11:01:00,A23,U03,Low,0.25,Within SLA,Non-Salesforce Native
T1125,2026-04-28 15:03:00,2026-04-28 18:27:36,A40,U05,Medium,3.41,Within SLA,Salesforce Flows
T1126,2026-03-08 09:57:00,2026-03-08 10:34:48,A19,U04,High,0.63,Within SLA,Salesforce Flows
T1127,2026-02-11 13:20:00,2026-02-11 14:15:48,A06,U01,Low,0.93,Within SLA,Salesforce Core
T1128,2026-03-31 09:48:00,2026-03-31 10:22:48,A14,U04,Low,0.58,Within SLA,Salesforce Flows
T1129,2026-01-26 16:46:00,2026-01-26 17:01:36,A22,U02,Low,0.26,Within SLA,Non-Salesforce Native
T1130,2026-02-17 08:25:00,2026-02-17 10:29:12,A36,U01,High,2.07,Within SLA,Salesforce Core
T1131,2026-02-21 15:21:00,2026-02-21 16:02:24,A14,U04,Medium,0.69,Within SLA,Salesforce Flows
T1132,2026-03-29 09:44:00,2026-03-29 10:10:24,A26,U01,Low,0.44,Within SLA,Salesforce Core
T1133,2026-01-07 10:46:00,2026-01-07 11:54:24,A23,U03,Medium,1.14,Within SLA,Non-Salesforce Native
T1134,2026-04-19 09:57:00,2026-04-19 10:22:12,A38,U03,Medium,0.42,Within SLA,Non-Salesforce Native
T1135,2026-03-30 14:36:00,2026-03-30 15:10:48,A28,U03,Low,0.58,Within SLA,Non-Salesforce Native
T1136,2026-04-13 13:25:00,2026-04-13 14:02:48,A44,U04,Low,0.63,Within SLA,Salesforce Flows
T1137,2026-01-25 11:09:00,2026-01-25 12:07:48,A03,U03,Medium,0.98,Within SLA,Non-Salesforce Native
T1138,2026-04-10 13:33:00,2026-04-10 14:48:00,A47,U02,Medium,1.25,Within SLA,Salesforce Core
T1139,2026-02-11 16:36:00,2026-02-11 18:00:00,A06,U01,High,1.4,Within SLA,Salesforce Core
T1140,2026-02-28 15:58:00,2026-02-28 16:22:36,A45,U05,Low,0.41,Within SLA,Salesforce Flows
T1141,2026-01-22 12:05:00,2026-01-22 12:20:36,A06,U01,Low,0.26,Within SLA,Salesforce Core
T1142,2026-03-16 15:54:00,2026-03-16 17:01:12,A09,U04,Low,1.12,Within SLA,Salesforce Flows
T1143,2026-02-09 12:35:00,2026-02-09 13:20:36,A24,U04,Low,0.76,Within SLA,Salesforce Flows
T1144,2026-04-02 11:14:00,2026-04-02 12:14:36,A06,U01,Critical,1.01,Within SLA,Salesforce Core
T1145,2026-04-12 10:56:00,2026-04-12 11:54:12,A02,U02,Medium,0.97,Within SLA,Non-Salesforce Native
T1146,2026-02-14 12:05:00,2026-02-14 12:54:48,A26,U01,Low,0.83,Within SLA,Salesforce Core
T1147,2026-04-07 11:48:00,2026-04-07 13:59:24,A12,U02,Low,2.19,Out of SLA,Non-Salesforce Native
T1148,2026-02-07 12:10:00,2026-02-07 13:31:00,A36,U01,Low,1.35,Within SLA,Salesforce Core
T1149,2026-01-06 09:55:00,2026-01-06 16:49:00,A10,U05,Medium,6.9,Within SLA,Non-Salesforce Native
T1150,2026-01-13 15:01:00,2026-01-13 15:01:00,A20,U05,Low,0.0,Within SLA,Salesforce Flows
T1151,2026-01-09 15:37:00,2026-01-09 18:28:00,A35,U05,Low,2.85,Within SLA,Salesforce Flows
T1152,2026-03-01 09:13:00,2026-03-01 09:31:00,A11,U01,High,0.3,Within SLA,Salesforce Core
T1153,2026-02-04 08:39:00,2026-02-04 08:52:48,A22,U02,Low,0.23,Within SLA,Salesforce Core
T1154,2026-04-15 12:13:00,2026-04-15 14:44:48,A30,U05,High,2.53,Within SLA,Salesforce Flows
T1155,2026-03-19 17:03:00,2026-03-19 18:46:12,A25,U05,High,1.72,Within SLA,Salesforce Flows
T1156,2026-03-13 14:39:00,2026-03-13 16:07:12,A14,U04,High,1.47,Within SLA,Salesforce Flows
T1157,2026-04-07 14:14:00,2026-04-07 17:41:00,A33,U03,Low,3.45,Within SLA,Non-Salesforce Native
T1158,2026-04-29 09:13:00,2026-04-29 09:24:24,A40,U05,Low,0.19,Within SLA,Salesforce Flows
T1159,2026-01-06 10:06:00,2026-01-06 10:22:12,A08,U03,Medium,0.27,Within SLA,Non-Salesforce Native
T1160,2026-04-21 08:51:00,2026-04-21 17:57:36,A30,U05,High,9.11,Within SLA,Non-Salesforce Native
T1161,2026-02-26 08:36:00,2026-02-26 08:56:24,A27,U02,Medium,0.34,Within SLA,Non-Salesforce Native
T1162,2026-03-07 17:04:00,2026-03-07 18:13:00,A10,U05,Low,1.15,Within SLA,Non-Salesforce Native
T1163,2026-02-16 11:44:00,2026-02-16 12:47:00,A24,U04,Medium,1.05,Within SLA,Salesforce Flows
T1164,2026-01-08 12:28:00,2026-01-08 14:22:36,A47,U02,Medium,1.91,Within SLA,Salesforce Core
T1165,2026-04-05 10:50:00,2026-04-05 11:16:24,A36,U01,Medium,0.44,Within SLA,Salesforce Core
T1166,2026-03-10 11:10:00,2026-03-10 11:56:12,A10,U05,Low,0.77,Within SLA,Non-Salesforce Native
T1167,2026-02-16 17:45:00,2026-02-16 19:04:12,A43,U03,Low,1.32,Within SLA,Non-Salesforce Native
T1168,2026-03-03 09:24:00,2026-03-03 12:29:24,A33,U03,Low,3.09,Within SLA,Non-Salesforce Native
T1169,2026-03-17 11:47:00,2026-03-17 11:48:48,A04,U04,High,0.03,Within SLA,Salesforce Flows
T1170,2026-04-16 08:27:00,2026-04-16 09:16:48,A31,U01,Medium,0.83,Within SLA,Salesforce Core
T1171,2026-01-29 15:40:00,2026-01-29 16:05:12,A22,U02,High,0.42,Within SLA,Salesforce Core
T1172,2026-01-21 17:45:00,2026-01-21 21:33:00,A36,U01,Low,3.8,Within SLA,Salesforce Core
T1173,2026-03-04 13:54:00,2026-03-04 13:58:48,A40,U05,Medium,0.08,Within SLA,Salesforce Flows
T1174,2026-01-09 17:51:00,2026-01-09 18:36:36,A26,U01,Low,0.76,Within SLA,Salesforce Core
T1175,2026-01-25 17:10:00,2026-01-25 17:48:24,A38,U03,Low,0.64,Within SLA,Non-Salesforce Native
T1176,2026-02-03 08:42:00,2026-02-03 09:07:48,A44,U04,High,0.43,Within SLA,Salesforce Flows
T1177,2026-01-25 14:51:00,2026-01-25 15:24:36,A06,U01,Low,0.56,Within SLA,Salesforce Core
T1178,2026-01-29 13:25:00,2026-01-29 14:30:24,A28,U03,Low,1.09,Within SLA,Non-Salesforce Native
T1179,2026-03-22 11:40:00,2026-03-22 14:37:36,A49,U04,Medium,2.96,Within SLA,Salesforce Flows
T1180,2026-03-04 15:48:00,2026-03-04 16:33:36,A07,U02,Medium,0.76,Within SLA,Salesforce Core
T1181,2026-02-20 15:18:00,2026-02-20 15:21:36,A32,U02,Medium,0.06,Within SLA,Salesforce Core
T1182,2026-01-30 15:18:00,2026-01-30 17:10:48,A18,U03,Low,1.88,Within SLA,Non-Salesforce Native
T1183,2026-04-24 09:53:00,2026-04-24 10:54:48,A28,U03,Medium,1.03,Within SLA,Non-Salesforce Native
T1184,2026-02-20 11:00:00,2026-02-20 15:22:48,A08,U03,High,4.38,Within SLA,Non-Salesforce Native
T1185,2026-02-01 17:09:00,2026-02-01 17:56:24,A19,U04,Medium,0.79,Within SLA,Salesforce Flows
T1186,2026-03-28 14:27:00,2026-03-28 15:14:24,A32,U02,Medium,0.79,Within SLA,Salesforce Core
T1187,2026-02-26 14:02:00,2026-02-26 15:05:36,A24,U04,Low,1.06,Within SLA,Salesforce Flows
T1188,2026-03-13 13:56:00,2026-03-13 15:31:24,A47,U02,Medium,1.59,Within SLA,Salesforce Core
T1189,2026-04-21 15:33:00,2026-04-21 16:56:24,A35,U05,Low,1.39,Within SLA,Non-Salesforce Native
T1190,2026-02-15 11:51:00,2026-02-15 12:22:12,A37,U02,Low,0.52,Within SLA,Non-Salesforce Native
T1191,2026-02-17 09:06:00,2026-02-17 11:55:48,A10,U05,Low,2.83,Within SLA,Salesforce Flows
T1192,2026-04-22 10:35:00,2026-04-22 13:56:00,A29,U04,Medium,3.35,Within SLA,Salesforce Flows
T1193,2026-02-16 12:19:00,2026-02-16 13:02:12,A11,U01,Low,0.72,Within SLA,Salesforce Core
T1194,2026-03-28 14:11:00,2026-03-28 16:24:48,A20,U05,Medium,2.23,Within SLA,Non-Salesforce Native
T1195,2026-01-09 09:52:00,2026-01-09 15:22:36,A44,U04,Low,5.51,Within SLA,Salesforce Flows
T1196,2026-04-18 15:16:00,2026-04-18 18:38:12,A10,U05,Medium,3.37,Within SLA,Salesforce Flows
T1197,2026-04-06 08:49:00,2026-04-06 10:37:00,A17,U02,Low,1.8,Within SLA,Non-Salesforce Native
T1198,2026-01-25 14:08:00,2026-01-25 14:38:00,A22,U02,High,0.5,Within SLA,Non-Salesforce Native
T1199,2026-01-29 09:22:00,2026-01-29 10:29:48,A37,U02,Low,1.13,Within SLA,Non-Salesforce Native
T1200,2026-02-11 11:40:00,2026-02-11 12:26:48,A38,U03,Low,0.78,Within SLA,Non-Salesforce Native
T1201,2026-04-12 17:11:00,2026-04-12 17:24:48,A23,U03,Low,0.23,Within SLA,Non-Salesforce Native
T1202,2026-01-27 16:30:00,2026-01-27 16:55:48,A06,U01,Medium,0.43,Within SLA,Salesforce Core
T1203,2026-04-19 16:52:00,2026-04-19 17:40:36,A07,U02,Medium,0.81,Within SLA,Salesforce Core
T1204,2026-04-02 17:45:00,2026-04-02 18:03:36,A02,U02,Low,0.31,Within SLA,Salesforce Core
T1205,2026-02-22 11:50:00,2026-02-22 14:33:12,A26,U01,Low,2.72,Within SLA,Salesforce Core
T1206,2026-01-11 11:48:00,2026-01-11 16:16:12,A39,U04,Medium,4.47,Within SLA,Salesforce Flows
T1207,2026-02-24 15:53:00,2026-02-24 16:21:12,A22,U02,Medium,0.47,Within SLA,Salesforce Core
T1208,2026-04-21 11:18:00,2026-04-21 12:19:48,A35,U05,High,1.03,Within SLA,Salesforce Flows
T1209,2026-04-19 09:08:00,2026-04-19 09:45:48,A26,U01,Medium,0.63,Within SLA,Salesforce Core
T1210,2026-02-09 08:00:00,2026-02-09 08:51:36,A25,U05,Medium,0.86,Within SLA,Non-Salesforce Native
T1211,2026-02-08 10:02:00,2026-02-08 15:11:00,A50,U05,High,5.15,Within SLA,Non-Salesforce Native
T1212,2026-04-12 09:11:00,2026-04-12 11:39:12,A19,U04,Low,2.47,Within SLA,Salesforce Flows
T1213,2026-02-18 08:09:00,2026-02-18 09:19:12,A49,U04,Low,1.17,Within SLA,Salesforce Flows
T1214,2026-03-29 10:07:00,2026-03-29 11:43:36,A31,U01,High,1.61,Within SLA,Salesforce Core
T1215,2026-04-28 13:07:00,2026-04-28 13:29:48,A25,U05,High,0.38,Within SLA,Non-Salesforce Native
T1216,2026-01-26 16:44:00,2026-01-26 18:33:48,A26,U01,Low,1.83,Within SLA,Salesforce Core
T1217,2026-03-12 08:22:00,2026-03-12 12:04:36,A26,U01,Medium,3.71,Within SLA,Salesforce Core
T1218,2026-01-14 12:06:00,2026-01-14 12:16:48,A09,U04,Low,0.18,Within SLA,Salesforce Flows
T1219,2026-02-28 14:28:00,2026-02-28 14:32:48,A18,U03,Medium,0.08,Within SLA,Non-Salesforce Native
T1220,2026-04-09 09:58:00,2026-04-09 11:19:36,A42,U02,Medium,1.36,Within SLA,Non-Salesforce Native
T1221,2026-04-09 09:02:00,2026-04-09 10:58:24,A37,U02,Medium,1.94,Within SLA,Non-Salesforce Native
T1222,2026-04-18 14:14:00,2026-04-18 15:51:48,A49,U04,Medium,1.63,Within SLA,Salesforce Flows
T1223,2026-01-13 09:32:00,2026-01-13 12:40:24,A16,U01,Medium,3.14,Within SLA,Salesforce Core
T1224,2026-03-07 14:34:00,2026-03-07 21:50:12,A42,U02,Critical,7.27,Out of SLA,Salesforce Core
T1225,2026-01-13 09:31:00,2026-01-13 09:32:48,A32,U02,High,0.03,Within SLA,Salesforce Core
T1226,2026-01-29 08:28:00,2026-01-29 11:34:00,A44,U04,Medium,3.1,Within SLA,Salesforce Flows
T1227,2026-04-21 16:09:00,2026-04-21 17:15:36,A30,U05,Medium,1.11,Within SLA,Salesforce Flows
T1228,2026-03-06 08:02:00,2026-03-06 10:54:12,A45,U05,Low,2.87,Within SLA,Non-Salesforce Native
T1229,2026-01-18 12:24:00,2026-01-18 19:00:00,A48,U03,Low,6.6,Within SLA,Non-Salesforce Native
T1230,2026-03-14 08:56:00,2026-03-14 13:38:00,A24,U04,Low,4.7,Within SLA,Salesforce Flows
T1231,2026-02-06 12:42:00,2026-02-06 15:55:48,A06,U01,Critical,3.23,Within SLA,Salesforce Core
T1232,2026-03-29 09:24:00,2026-03-29 11:12:00,A07,U02,Critical,1.8,Within SLA,Salesforce Core
T1233,2026-04-03 13:52:00,2026-04-03 14:09:24,A45,U05,Low,0.29,Within SLA,Salesforce Flows
T1234,2026-03-31 16:48:00,2026-03-31 19:13:12,A03,U03,High,2.42,Within SLA,Non-Salesforce Native
T1235,2026-02-23 14:48:00,2026-02-23 22:43:12,A09,U04,High,7.92,Within SLA,Salesforce Flows
T1236,2026-03-02 17:34:00,2026-03-02 17:49:00,A50,U05,Medium,0.25,Within SLA,Salesforce Flows
