Bug_ID,Date_Detected,Environment,Detected_By,Agent_ID,Severity,Application_Platform
B2081,2026-01-31 12:00:00,Production,Client User,A35,Minor,Salesforce Flows
B2082,2026-03-28 12:00:00,UAT,QA Team,A05,Minor,Non-Salesforce Native
B2083,2026-03-29 16:00:00,UAT,QA Team,A50,Minor,Salesforce Flows
B2084,2026-03-11 11:00:00,Production,Client User,A50,Minor,Non-Salesforce Native
B2085,2026-01-24 12:00:00,UAT,QA Team,A25,Minor,Non-Salesforce Native
B2086,2026-01-28 15:00:00,Production,Client User,A15,Major,Non-Salesforce Native
B2087,2026-01-09 16:00:00,Production,Client User,A45,Major,Non-Salesforce Native
B2088,2026-03-27 16:00:00,Production,Client User,A05,Minor,Non-Salesforce Native
B2089,2026-04-22 13:00:00,Production,Client User,A10,Minor,Non-Salesforce Native
B2090,2026-04-10 13:00:00,Production,Client User,A05,Major,Salesforce Flows
B2091,2026-02-21 13:00:00,UAT,QA Team,A15,Minor,Non-Salesforce Native
B2092,2026-03-14 16:00:00,UAT,QA Team,A25,Critical,Salesforce Flows
B2093,2026-03-18 10:00:00,UAT,QA Team,A15,Critical,Salesforce Flows
B2094,2026-04-05 15:00:00,Production,Client User,A40,Minor,Non-Salesforce Native
B2095,2026-02-02 09:00:00,UAT,QA Team,A10,Critical,Non-Salesforce Native
B2096,2026-04-17 14:00:00,UAT,QA Team,A40,Minor,Non-Salesforce Native
B2097,2026-04-25 12:00:00,UAT,QA Team,A30,Major,Non-Salesforce Native
B2098,2026-03-21 12:00:00,Production,Client User,A40,Critical,Non-Salesforce Native
B2099,2026-03-09 11:00:00,Production,Client User,A35,Minor,Non-Salesforce Native
B2100,2026-04-11 10:00:00,Production,Client User,A10,Critical,Non-Salesforce Native
B2101,2026-02-26 15:00:00,Production,Client User,A45,Minor,Non-Salesforce Native
B2102,2026-02-18 13:00:00,UAT,QA Team,A20,Minor,Salesforce Flows
B2103,2026-03-01 14:00:00,UAT,QA Team,A45,Major,Non-Salesforce Native
B2104,2026-04-15 12:00:00,UAT,QA Team,A45,Critical,Salesforce Flows
B2105,2026-02-04 13:00:00,Production,Client User,A50,Major,Non-Salesforce Native
B2106,2026-01-29 14:00:00,Production,Client User,A05,Minor,Non-Salesforce Native
B2107,2026-01-26 09:00:00,Production,Client User,A40,Critical,Salesforce Flows
B2108,2026-01-26 15:00:00,UAT,QA Team,A25,Minor,Salesforce Flows
B2109,2026-02-22 10:00:00,UAT,QA Team,A25,Major,Salesforce Flows
B2110,2026-01-02 14:00:00,Production,Client User,A05,Minor,Non-Salesforce Native
B2111,2026-01-07 15:00:00,UAT,QA Team,A15,Critical,Non-Salesforce Native
B2112,2026-04-29 12:00:00,UAT,QA Team,A45,Major,Non-Salesforce Native
B2113,2026-03-15 10:00:00,Production,Client User,A45,Major,Non-Salesforce Native
B2114,2026-03-01 10:00:00,UAT,QA Team,A20,Minor,Salesforce Flows
B2115,2026-02-02 12:00:00,UAT,QA Team,A35,Minor,Salesforce Flows
B2116,2026-03-29 16:00:00,Production,Client User,A45,Minor,Non-Salesforce Native
B2117,2026-01-26 16:00:00,UAT,QA Team,A45,Minor,Salesforce Flows
B2118,2026-02-10 14:00:00,UAT,QA Team,A25,Minor,Non-Salesforce Native
B2119,2026-02-11 13:00:00,Production,Client User,A05,Minor,Non-Salesforce Native
B2120,2026-02-23 10:00:00,UAT,QA Team,A50,Minor,Salesforce Flows
B2121,2026-01-25 12:00:00,Production,Client User,A40,Minor,Non-Salesforce Native
B2122,2026-01-08 13:00:00,UAT,QA Team,A45,Critical,Non-Salesforce Native
B2123,2026-01-05 16:00:00,UAT,QA Team,A35,Minor,Non-Salesforce Native
B2124,2026-02-06 15:00:00,UAT,QA Team,A35,Minor,Non-Salesforce Native
B2125,2026-03-18 16:00:00,UAT,QA Team,A45,Major,Non-Salesforce Native
B2126,2026-04-18 12:00:00,UAT,QA Team,A15,Critical,Non-Salesforce Native
B2127,2026-03-09 09:00:00,UAT,QA Team,A20,Major,Non-Salesforce Native
B2128,2026-04-13 12:00:00,Production,Client User,A50,Minor,Non-Salesforce Native
B2129,2026-03-20 13:00:00,UAT,QA Team,A30,Minor,Salesforce Flows
B2130,2026-04-15 12:00:00,Production,Client User,A35,Minor,Non-Salesforce Native
B2131,2026-03-05 09:00:00,Production,Client User,A45,Major,Non-Salesforce Native
B2132,2026-03-04 09:00:00,Production,Client User,A25,Minor,Salesforce Flows
B2133,2026-02-22 15:00:00,UAT,QA Team,A45,Minor,Non-Salesforce Native
B2134,2026-04-22 15:00:00,UAT,QA Team,A05,Major,Non-Salesforce Native
B2135,2026-01-31 12:00:00,UAT,QA Team,A05,Major,Non-Salesforce Native
B2136,2026-03-17 14:00:00,UAT,QA Team,A25,Major,Salesforce Flows
B2137,2026-02-02 14:00:00,UAT,QA Team,A50,Critical,Non-Salesforce Native
B2138,2026-02-04 09:00:00,Production,Client User,A05,Major,Non-Salesforce Native
B2139,2026-01-23 11:00:00,UAT,QA Team,A05,Minor,Salesforce Flows
B2140,2026-01-19 14:00:00,Production,Client User,A20,Minor,Non-Salesforce Native
B2141,2026-02-19 10:00:00,Production,Client User,A15,Major,Non-Salesforce Native
B2142,2026-03-04 13:00:00,Production,Client User,A45,Minor,Non-Salesforce Native
B2143,2026-02-03 10:00:00,UAT,QA Team,A50,Minor,Salesforce Flows
B2144,2026-01-20 15:00:00,UAT,QA Team,A20,Minor,Salesforce Flows
B2145,2026-04-02 14:00:00,UAT,QA Team,A20,Minor,Non-Salesforce Native
B2146,2026-03-03 16:00:00,UAT,QA Team,A35,Minor,Salesforce Flows
B2147,2026-03-24 15:00:00,UAT,QA Team,A20,Minor,Non-Salesforce Native
B2148,2026-03-14 14:00:00,UAT,QA Team,A35,Major,Salesforce Flows
B2149,2026-01-07 11:00:00,UAT,QA Team,A20,Critical,Salesforce Flows
B2150,2026-03-21 14:00:00,UAT,QA Team,A30,Minor,Salesforce Flows
B2151,2026-01-24 13:00:00,UAT,QA Team,A35,Minor,Non-Salesforce Native
B2152,2026-02-22 16:00:00,UAT,QA Team,A20,Critical,Non-Salesforce Native
B2153,2026-01-08 09:00:00,UAT,QA Team,A20,Minor,Non-Salesforce Native
B2154,2026-03-03 13:00:00,UAT,QA Team,A10,Major,Salesforce Flows
B2155,2026-01-29 15:00:00,Production,Client User,A25,Minor,Non-Salesforce Native
B2156,2026-03-18 09:00:00,UAT,QA Team,A25,Major,Salesforce Flows
B2157,2026-03-17 13:00:00,UAT,QA Team,A25,Major,Salesforce Flows
B2158,2026-04-23 14:00:00,UAT,QA Team,A30,Major,Non-Salesforce Native
B2159,2026-04-21 16:00:00,UAT,QA Team,A05,Minor,Non-Salesforce Native
B2160,2026-04-03 09:00:00,Production,Client User,A25,Critical,Non-Salesforce Native
B2161,2026-02-17 10:00:00,Production,Client User,A20,Major,Non-Salesforce Native
B2162,2026-04-27 10:00:00,Production,Client User,A35,Minor,Non-Salesforce Native
B2163,2026-02-10 12:00:00,Production,Client User,A35,Minor,Salesforce Flows
B2164,2026-01-11 16:00:00,UAT,QA Team,A20,Major,Salesforce Flows
B2165,2026-03-26 15:00:00,UAT,QA Team,A35,Major,Salesforce Flows
B2166,2026-01-11 09:00:00,Production,Client User,A20,Major,Non-Salesforce Native
B2167,2026-01-16 15:00:00,UAT,QA Team,A35,Critical,Non-Salesforce Native
B2168,2026-03-22 11:00:00,UAT,QA Team,A35,Minor,Non-Salesforce Native
B2169,2026-03-30 12:00:00,Production,Client User,A15,Critical,Non-Salesforce Native
B2170,2026-01-15 15:00:00,UAT,QA Team,A25,Minor,Non-Salesforce Native
B2171,2026-01-29 14:00:00,UAT,QA Team,A10,Major,Non-Salesforce Native
B2172,2026-02-16 14:00:00,UAT,QA Team,A20,Minor,Non-Salesforce Native
B2173,2026-01-06 14:00:00,UAT,QA Team,A05,Critical,Non-Salesforce Native
B2174,2026-03-11 09:00:00,Production,Client User,A05,Major,Non-Salesforce Native
B2175,2026-03-27 10:00:00,UAT,QA Team,A50,Major,Salesforce Flows
B2176,2026-02-21 15:00:00,Production,Client User,A15,Critical,Non-Salesforce Native
B2177,2026-04-12 12:00:00,UAT,QA Team,A40,Minor,Non-Salesforce Native
B2178,2026-04-29 13:00:00,Production,Client User,A50,Critical,Non-Salesforce Native
B2179,2026-01-14 09:00:00,Production,Client User,A15,Minor,Salesforce Flows
B2180,2026-02-08 16:00:00,Production,Client User,A25,Critical,Non-Salesforce Native
B2181,2026-03-06 15:00:00,UAT,QA Team,A05,Critical,Salesforce Flows
B2182,2026-04-16 16:00:00,UAT,QA Team,A15,Critical,Non-Salesforce Native
B2183,2026-04-18 10:00:00,UAT,QA Team,A30,Minor,Non-Salesforce Native
B2184,2026-01-31 13:00:00,UAT,QA Team,A10,Critical,Salesforce Flows
B2185,2026-03-01 15:00:00,Production,Client User,A25,Major,Non-Salesforce Native
B2186,2026-01-11 15:00:00,Production,Client User,A45,Major,Non-Salesforce Native
B2187,2026-04-24 16:00:00,UAT,QA Team,A05,Critical,Non-Salesforce Native
B2188,2026-03-30 15:00:00,Production,Client User,A35,Minor,Non-Salesforce Native
B2189,2026-03-03 09:00:00,UAT,QA Team,A05,Critical,Non-Salesforce Native
B2190,2026-02-01 12:00:00,Production,Client User,A05,Critical,Non-Salesforce Native
B2191,2026-03-11 10:00:00,UAT,QA Team,A05,Minor,Non-Salesforce Native
B2192,2026-02-03 13:00:00,Production,Client User,A10,Minor,Non-Salesforce Native
B2193,2026-02-13 12:00:00,UAT,QA Team,A10,Minor,Non-Salesforce Native
B2194,2026-02-27 12:00:00,UAT,QA Team,A35,Major,Non-Salesforce Native
B2195,2026-03-31 13:00:00,Production,Client User,A05,Minor,Salesforce Flows
B2196,2026-03-11 14:00:00,UAT,QA Team,A40,Major,Non-Salesforce Native
B2197,2026-01-02 10:00:00,UAT,QA Team,A20,Critical,Salesforce Flows
B2198,2026-01-19 09:00:00,UAT,QA Team,A10,Minor,Salesforce Flows
B2199,2026-04-24 13:00:00,UAT,QA Team,A15,Major,Salesforce Flows
B2200,2026-01-10 12:00:00,UAT,QA Team,A05,Minor,Salesforce Flows
B2201,2026-03-30 13:00:00,UAT,QA Team,A05,Minor,Non-Salesforce Native
B2202,2026-03-26 16:00:00,Production,Client User,A05,Critical,Non-Salesforce Native
B2203,2026-03-11 15:00:00,Production,Client User,A15,Major,Non-Salesforce Native
B2204,2026-03-25 12:00:00,UAT,QA Team,A35,Minor,Salesforce Flows
B2205,2026-01-30 11:00:00,Production,Client User,A25,Minor,Non-Salesforce Native
B2206,2026-04-06 13:00:00,UAT,QA Team,A10,Critical,Non-Salesforce Native
B2207,2026-02-19 09:00:00,UAT,QA Team,A05,Critical,Non-Salesforce Native
B2208,2026-01-02 16:00:00,Production,Client User,A25,Minor,Salesforce Flows
B2209,2026-01-14 11:00:00,UAT,QA Team,A20,Minor,Salesforce Flows
B2210,2026-04-27 15:00:00,Production,Client User,A15,Minor,Salesforce Flows
B2211,2026-02-19 16:00:00,UAT,QA Team,A35,Minor,Non-Salesforce Native
B2212,2026-04-21 11:00:00,UAT,QA Team,A35,Critical,Non-Salesforce Native
B2213,2026-01-07 15:00:00,UAT,QA Team,A10,Minor,Salesforce Flows
B2214,2026-03-29 13:00:00,Production,Client User,A05,Major,Non-Salesforce Native
B2215,2026-01-24 11:00:00,UAT,QA Team,A35,Minor,Salesforce Flows
B2216,2026-04-29 14:00:00,UAT,QA Team,A25,Major,Non-Salesforce Native
B2217,2026-01-29 10:00:00,UAT,QA Team,A25,Critical,Non-Salesforce Native
B2218,2026-03-20 13:00:00,Production,Client User,A15,Minor,Non-Salesforce Native
B2219,2026-04-07 13:00:00,Production,Client User,A50,Minor,Non-Salesforce Native
B2220,2026-01-23 09:00:00,UAT,QA Team,A50,Minor,Salesforce Flows
B2221,2026-03-30 09:00:00,Production,Client User,A40,Minor,Non-Salesforce Native
B2222,2026-02-01 16:00:00,UAT,QA Team,A45,Minor,Salesforce Flows
B2223,2026-01-24 13:00:00,UAT,QA Team,A45,Major,Salesforce Flows
B2224,2026-01-03 15:00:00,UAT,QA Team,A45,Major,Salesforce Flows
B2225,2026-03-01 13:00:00,Production,Client User,A45,Minor,Non-Salesforce Native
B2226,2026-01-19 12:00:00,UAT,QA Team,A25,Minor,Salesforce Flows
B2227,2026-01-05 13:00:00,UAT,QA Team,A20,Critical,Salesforce Flows
B2228,2026-02-18 09:00:00,Production,Client User,A50,Major,Non-Salesforce Native
B2229,2026-04-26 09:00:00,UAT,QA Team,A45,Minor,Salesforce Flows
B2230,2026-04-01 13:00:00,UAT,QA Team,A10,Minor,Non-Salesforce Native
B2231,2026-02-16 16:00:00,UAT,QA Team,A25,Minor,Salesforce Flows
B2232,2026-01-15 16:00:00,Production,Client User,A20,Minor,Non-Salesforce Native
B2233,2026-04-19 10:00:00,Production,Client User,A50,Major,Non-Salesforce Native
B2234,2026-04-20 13:00:00,UAT,QA Team,A05,Critical,Salesforce Flows
B2235,2026-03-06 13:00:00,Production,Client User,A40,Minor,Non-Salesforce Native
B2236,2026-03-28 12:00:00,UAT,QA Team,A05,Major,Salesforce Flows
B2237,2026-03-04 12:00:00,UAT,QA Team,A50,Critical,Non-Salesforce Native
B2238,2026-03-14 09:00:00,Production,Client User,A40,Minor,Non-Salesforce Native
B2239,2026-04-03 11:00:00,Production,Client User,A45,Minor,Non-Salesforce Native
B2240,2026-01-01 09:00:00,Production,Client User,A45,Minor,Non-Salesforce Native
B2241,2026-04-09 09:00:00,Production,Client User,A15,Critical,Non-Salesforce Native
B2242,2026-03-25 10:00:00,Production,Client User,A20,Minor,Non-Salesforce Native
B2243,2026-01-19 14:00:00,Production,Client User,A15,Minor,Non-Salesforce Native
B2244,2026-03-08 15:00:00,UAT,QA Team,A40,Minor,Non-Salesforce Native
B2245,2026-02-07 11:00:00,UAT,QA Team,A35,Critical,Salesforce Flows
B2246,2026-03-06 16:00:00,Production,Client User,A45,Major,Non-Salesforce Native
B2247,2026-03-13 13:00:00,Production,Client User,A20,Major,Non-Salesforce Native
B2248,2026-02-14 14:00:00,UAT,QA Team,A05,Minor,Non-Salesforce Native
B2249,2026-02-27 12:00:00,Production,Client User,A20,Major,Non-Salesforce Native
B2250,2026-03-16 11:00:00,UAT,QA Team,A25,Minor,Salesforce Flows
B2251,2026-02-02 13:00:00,Production,Client User,A20,Minor,Non-Salesforce Native
B2252,2026-04-24 16:00:00,UAT,QA Team,A25,Minor,Non-Salesforce Native
B2253,2026-04-01 12:00:00,UAT,QA Team,A45,Critical,Salesforce Flows
B2254,2026-03-08 14:00:00,UAT,QA Team,A45,Critical,Salesforce Flows
B2255,2026-02-18 09:00:00,UAT,QA Team,A35,Minor,Salesforce Flows
B2256,2026-03-23 13:00:00,UAT,QA Team,A05,Minor,Non-Salesforce Native
B2257,2026-01-13 11:00:00,UAT,QA Team,A30,Minor,Salesforce Flows
B2258,2026-04-05 11:00:00,Production,Client User,A30,Critical,Salesforce Flows
B2259,2026-02-11 16:00:00,UAT,QA Team,A40,Major,Salesforce Flows
B2260,2026-02-05 14:00:00,UAT,QA Team,A15,Minor,Non-Salesforce Native
B2261,2026-04-06 15:00:00,Production,Client User,A25,Minor,Salesforce Flows
B2262,2026-02-11 10:00:00,Production,Client User,A05,Minor,Salesforce Flows
B2263,2026-04-23 15:00:00,UAT,QA Team,A15,Minor,Salesforce Flows
B2264,2026-03-24 09:00:00,UAT,QA Team,A15,Minor,Non-Salesforce Native
B2265,2026-02-12 14:00:00,UAT,QA Team,A15,Minor,Salesforce Flows
B2266,2026-04-05 14:00:00,UAT,QA Team,A20,Minor,Salesforce Flows
B2267,2026-03-04 15:00:00,UAT,QA Team,A30,Major,Non-Salesforce Native
B2268,2026-01-18 11:00:00,Production,Client User,A45,Minor,Salesforce Flows
B2269,2026-04-25 13:00:00,UAT,QA Team,A45,Critical,Non-Salesforce Native
B2270,2026-04-20 14:00:00,Production,Client User,A30,Critical,Non-Salesforce Native
B2271,2026-01-31 11:00:00,UAT,QA Team,A50,Minor,Non-Salesforce Native
B2272,2026-04-05 12:00:00,Production,Client User,A45,Minor,Salesforce Flows
B2273,2026-02-19 12:00:00,Production,Client User,A05,Minor,Non-Salesforce Native
B2274,2026-03-04 09:00:00,Production,Client User,A40,Major,Non-Salesforce Native
B2275,2026-01-09 13:00:00,UAT,QA Team,A15,Minor,Non-Salesforce Native
B2276,2026-03-28 12:00:00,Production,Client User,A35,Major,Salesforce Flows
B2277,2026-04-17 11:00:00,Production,Client User,A45,Major,Non-Salesforce Native
B2278,2026-03-22 16:00:00,UAT,QA Team,A20,Critical,Salesforce Flows
B2279,2026-02-09 10:00:00,Production,Client User,A50,Major,Non-Salesforce Native
B2280,2026-04-19 13:00:00,Production,Client User,A45,Critical,Non-Salesforce Native
B2281,2026-02-20 09:00:00,Production,Client User,A15,Major,Non-Salesforce Native
B2282,2026-01-09 13:00:00,UAT,QA Team,A30,Major,Non-Salesforce Native
B2283,2026-03-13 10:00:00,Production,Client User,A30,Minor,Non-Salesforce Native
B2284,2026-04-26 14:00:00,Production,Client User,A10,Major,Non-Salesforce Native
B2285,2026-03-04 15:00:00,UAT,QA Team,A20,Minor,Salesforce Flows
B2286,2026-02-13 10:00:00,UAT,QA Team,A25,Major,Salesforce Flows
B2287,2026-01-09 15:00:00,UAT,QA Team,A50,Minor,Non-Salesforce Native
B2288,2026-03-15 10:00:00,Production,Client User,A40,Minor,Non-Salesforce Native
B2289,2026-01-08 14:00:00,UAT,QA Team,A35,Minor,Non-Salesforce Native
B2290,2026-03-14 10:00:00,UAT,QA Team,A15,Minor,Salesforce Flows
B2291,2026-04-06 09:00:00,UAT,QA Team,A20,Major,Salesforce Flows
B2292,2026-04-01 10:00:00,UAT,QA Team,A10,Major,Non-Salesforce Native
B2293,2026-04-18 15:00:00,UAT,QA Team,A30,Minor,Salesforce Flows
B2294,2026-04-21 16:00:00,UAT,QA Team,A45,Minor,Salesforce Flows
B2295,2026-01-13 09:00:00,UAT,QA Team,A25,Minor,Non-Salesforce Native
B2296,2026-04-21 10:00:00,UAT,QA Team,A30,Critical,Non-Salesforce Native
B2297,2026-01-03 10:00:00,UAT,QA Team,A30,Minor,Non-Salesforce Native
B2298,2026-04-12 12:00:00,Production,Client User,A25,Critical,Non-Salesforce Native
B2299,2026-01-21 12:00:00,Production,Client User,A20,Minor,Non-Salesforce Native
B2300,2026-04-14 11:00:00,UAT,QA Team,A25,Minor,Non-Salesforce Native
B2301,2026-03-02 11:00:00,UAT,QA Team,A35,Critical,Salesforce Flows
B2302,2026-04-21 11:00:00,UAT,QA Team,A25,Minor,Salesforce Flows
B2303,2026-04-07 14:00:00,Production,Client User,A30,Minor,Non-Salesforce Native
B2304,2026-02-22 10:00:00,Production,Client User,A15,Major,Non-Salesforce Native
B2305,2026-04-30 09:00:00,Production,Client User,A50,Minor,Non-Salesforce Native
B2306,2026-03-13 12:00:00,UAT,QA Team,A25,Minor,Non-Salesforce Native
B2307,2026-04-21 12:00:00,UAT,QA Team,A50,Major,Salesforce Flows
B2308,2026-02-05 09:00:00,Production,Client User,A50,Major,Non-Salesforce Native
B2309,2026-04-17 09:00:00,Production,Client User,A40,Major,Salesforce Flows
B2310,2026-04-02 12:00:00,Production,Client User,A40,Minor,Salesforce Flows
B2311,2026-04-06 14:00:00,UAT,QA Team,A25,Minor,Salesforce Flows
B2312,2026-03-30 09:00:00,Production,Client User,A15,Major,Salesforce Flows
B2313,2026-01-08 15:00:00,UAT,QA Team,A50,Major,Non-Salesforce Native
B2314,2026-02-17 15:00:00,UAT,QA Team,A05,Major,Salesforce Flows
B2315,2026-04-17 13:00:00,UAT,QA Team,A05,Major,Non-Salesforce Native
B2316,2026-04-04 15:00:00,Production,Client User,A35,Minor,Non-Salesforce Native
B2317,2026-03-15 10:00:00,Production,Client User,A15,Minor,Non-Salesforce Native
B2318,2026-02-20 10:00:00,UAT,QA Team,A50,Minor,Salesforce Flows
B2319,2026-04-11 12:00:00,Production,Client User,A10,Major,Non-Salesforce Native
B2320,2026-03-05 16:00:00,UAT,QA Team,A30,Minor,Non-Salesforce Native
B2321,2026-03-08 11:00:00,Production,Client User,A35,Major,Non-Salesforce Native
B2322,2026-02-07 16:00:00,UAT,QA Team,A25,Major,Non-Salesforce Native
B2323,2026-02-18 16:00:00,UAT,QA Team,A15,Critical,Non-Salesforce Native
B2324,2026-04-29 16:00:00,Production,Client User,A40,Major,Non-Salesforce Native
B2325,2026-04-20 10:00:00,Production,Client User,A05,Major,Non-Salesforce Native
B2326,2026-01-10 10:00:00,UAT,QA Team,A35,Minor,Non-Salesforce Native
B2327,2026-01-27 15:00:00,UAT,QA Team,A05,Major,Salesforce Flows
B2328,2026-01-11 13:00:00,Production,Client User,A10,Minor,Non-Salesforce Native
B2329,2026-03-01 12:00:00,UAT,QA Team,A35,Major,Salesforce Flows
